PLAYER_1,PLAYER_2,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,SCORING_EDGE_WEIGHT
1629004,1629067,-1629004-1629067-,S. Mykhailiuk - I. Bonga,1610612761,TOR,43.5,94.8,106.3,-11.5,105.46,0.505,0.193,0.486,0.542,0.458,0.132,0.099,0.11,0.396,0.486,0.514,0.378,0.506,0.342,0.189,0.482758621
1627853,1630579,-1627853-1630579-,R. Arcidiacono - J. Sims,1610612752,NYK,47.7,94.1,91.2,2.9,102.71,0.574,0.297,0.75,0.432,0.568,0.021,0.052,0.167,0.313,0.75,0.25,0.268,0.475,0.304,0.147,0.482180294
203107,1630225,-203107-1630225-,T. Satoransky - I. Todd,1610612764,WAS,10.4,79.2,100,-20.8,108.29,0.437,0.2,0.875,0.7,0.3,0.105,0.211,0.105,0.632,0.875,0.125,0.333,0.654,0.615,0.217,0.480769231
203500,1629681,-203500-1629681-,S. Adams - K. Tillie,1610612763,MEM,127.1,108.8,107.9,0.9,99.92,0.514,0.239,0.473,0.697,0.303,0.091,0.14,0.133,0.533,0.473,0.527,0.413,0.547,0.232,0.131,0.479937057
202397,1630225,-202397-1630225-,I. Smith - I. Todd,1610612764,WAS,16.7,69.4,155.6,-86.1,103.69,0.395,0.207,0.364,0.759,0.241,0.4,0.08,0.12,0.48,0.364,0.636,0.538,0.712,0.394,0.083,0.479041916
1629718,1630198,-1629718-1630198-,C. Brown Jr. - I. Joe,1610612755,PHI,56.4,104.9,95.8,9.1,103.02,0.518,0.212,0.49,0.628,0.372,0.063,0.102,0.141,0.609,0.49,0.51,0.333,0.511,0.295,0.15,0.478723404
202684,1627936,-202684-1627936-,T. Thompson - A. Caruso,1610612741,CHI,101,115.2,97.6,17.5,100.24,0.593,0.343,0.511,0.713,0.287,0.156,0.115,0.206,0.428,0.511,0.489,0.313,0.506,0.281,0.156,0.475247525
1626153,1630536,-1626153-1630536-,D. Wright - S. Cooper,1610612737,ATL,21.1,68.8,117.8,-49,105.87,0.461,0.118,0.75,0.412,0.588,0.182,0,0.091,0.182,0.75,0.25,0.471,0.639,0.222,0.156,0.473933649
1627788,1629718,-1627788-1629718-,F. Korkmaz - C. Brown Jr.,1610612755,PHI,88.7,104.2,88.8,15.5,101.76,0.535,0.188,0.538,0.712,0.288,0.112,0.091,0.132,0.528,0.538,0.462,0.269,0.434,0.258,0.123,0.473506201
1630201,1630625,-1630201-1630625-,M. Flynn - D. Banton,1610612761,TOR,85.2,92.6,107.7,-15.1,104.55,0.468,0.225,0.683,0.574,0.426,0.069,0.126,0.161,0.425,0.683,0.317,0.389,0.573,0.172,0.175,0.469483568
202340,203145,-202340-203145-,A. Bradley - K. Bazemore,1610612747,LAL,168.3,89.6,103.8,-14.2,104.38,0.465,0.201,0.52,0.684,0.316,0.135,0.131,0.144,0.483,0.52,0.48,0.333,0.537,0.276,0.183,0.469399881
201976,202328,-201976-202328-,P. Beverley - G. Monroe,1610612750,MIN,19.2,79.5,133.3,-53.8,93.91,0.391,0.162,0.667,0.541,0.459,0.065,0.129,0.129,0.516,0.667,0.333,0.4,0.621,0.483,0.167,0.46875
1627936,1630172,-1627936-1630172-,A. Caruso - P. Williams,1610612741,CHI,128.9,107.5,105.5,2,100.75,0.57,0.326,0.62,0.643,0.357,0.125,0.111,0.215,0.389,0.62,0.38,0.301,0.526,0.245,0.158,0.465477114
1627823,1630270,-1627823-1630270-,J. Hernangomez - X. Sneed,1610612762,UTA,21.5,106.7,102.2,4.4,100.7,0.556,0.122,0.684,0.439,0.561,0.042,0.188,0.083,0.5,0.684,0.316,0.176,0.476,0.171,0.067,0.465116279
1629067,1630625,-1629067-1630625-,I. Bonga - D. Banton,1610612761,TOR,28,77.8,104.8,-27.1,107.25,0.42,0.185,0.579,0.537,0.463,0.163,0.143,0.102,0.367,0.579,0.421,0.364,0.531,0.306,0.242,0.464285714
1630540,1630579,-1630540-1630579-,M. McBride - J. Sims,1610612752,NYK,138.8,109,96.2,12.7,100.62,0.586,0.346,0.657,0.491,0.509,0.038,0.089,0.193,0.342,0.657,0.343,0.278,0.475,0.276,0.116,0.461095101
1627774,1629162,-1627774-1629162-,J. Layman - J. McLaughlin,1610612750,MIN,96.8,95,107.3,-12.3,109.09,0.55,0.355,0.747,0.633,0.367,0.057,0.128,0.209,0.493,0.747,0.253,0.363,0.527,0.27,0.151,0.454545455
203585,1630691,-203585-1630691-,R. McGruder - J. Pickett,1610612765,DET,37.4,93.4,100,-6.6,97.67,0.524,0.339,0.708,0.475,0.525,0.056,0.056,0.211,0.394,0.708,0.292,0.211,0.508,0.222,0.145,0.454545455
202693,203506,-202693-203506-,M. Morris - V. Oladipo,1610612748,MIA,15.4,76.5,100,-23.5,102.8,0.577,0.421,0.667,0.526,0.474,0.154,0.077,0.192,0.308,0.667,0.333,0.214,0.58,0.24,0.219,0.454545455
201980,1629680,-201980-1629680-,D. Green - M. Thybulle,1610612755,PHI,230.2,106.8,95.9,10.9,101.26,0.598,0.35,0.58,0.666,0.334,0.104,0.142,0.213,0.412,0.58,0.42,0.293,0.477,0.257,0.169,0.45178106
2738,1629308,-2738-1629308-,A. Iguodala - J. Toscano-Anderson,1610612744,GSW,95.3,107.8,101,6.8,97.71,0.581,0.242,0.689,0.509,0.491,0.077,0.077,0.155,0.377,0.689,0.311,0.365,0.5,0.458,0.158,0.451206716
1626196,1629719,-1626196-1629719-,J. Richardson - D. Cacok,1610612759,SAS,20,119.5,142.5,-23,97.04,0.592,0.27,0.667,0.595,0.405,0.163,0.082,0.163,0.367,0.667,0.333,0.417,0.696,0.821,0.125,0.45
