,Name,Salary
379,Larry Sanders,1865546.0
380,Carsen Edwards,1859365.0
381,Shake Milton,1846738.0
382,Jalen Brunson,1802057.0
383,Mitchell Robinson,1802057.0
384,Tony Bradley,1789256.0
385,Frank Ntilikina,1789256.0
386,Semi Ojeleye,1789256.0
387,Malik Monk,1789256.0
388,Dennis Smith,1789256.0
389,Didi Louzada,1786878.0
390,Nicolas Claxton,1782621.0
391,Jalen McDaniels,1782621.0
392,Cody Martin,1782621.0
393,Dean Wade,1782621.0
394,Vlatko Cancar,1782621.0
395,Kevin Porter,1782621.0
396,Bruno Fernando,1782621.0
397,Terance Mann,1782621.0
398,Jaylen Nowell,1782621.0
399,Naz Reid,1782621.0
400,Isaiah Roby,1782621.0
401,Luguentz Dort,1782621.0
402,KZ Okpala,1782621.0
403,Eric Paschall,1782621.0
404,Daniel Gafford,1782621.0
405,Chimezie Metu,1762796.0
406,Yuta Watanabe,1762796.0
407,Armoni Brooks,1739065.0
408,Isaiah Hartenstein,1729217.0
409,Thanasis Antetokounmpo,1729217.0
410,Moritz Wagner,1729217.0
411,Keita Bates-Diop,1729217.0
412,Sviatoslav Mykhailiuk,1729217.0
413,Isaac Bonga,1729217.0
414,Juan Toscano-Anderson,1701593.0
415,Oshae Brissett,1701593.0
416,Herb Jones,1700000.0
417,Gabriel Deck,1690507.0
418,Matt Thomas,1669178.0
419,Javonte Green,1669178.0
420,Gary Payton II,1669178.0
421,Max Strus,1669178.0
422,Gabe Vincent,1669178.0
423,Robert Woodard,1619015.0
424,Lance Stephenson,1614825.0
425,Deividas Sirvydis,1603559.0
426,Daniel Oturu,1603559.0
427,Kevin Pangos,1569178.0
428,Bismack Biyombo,1518213.0
429,Nick Richards,1517981.0
430,Lamar Stevens,1517981.0
431,KJ Martin,1517981.0
432,Jae'Sean Tate,1517981.0
433,Sam Merrill,1517981.0
434,Xavier Tillman,1517981.0
435,Jordan Nwora,1517981.0
436,Naji Marshall,1517981.0
437,Paul Reed,1517981.0
438,Isaiah Joe,1517981.0
439,CJ Elleby,1517981.0
440,Elijah Hughes,1517981.0
441,Jahmi'us Ramsey,1517981.0
442,Tre Jones,1517981.0
443,Anthony Gill,1517981.0
444,Vernon Carey,1517981.0
445,Isaiah Todd,1500000.0
446,Saben Lee,1489065.0
447,Omer Yurtseven,1489065.0
448,JR Smith,1456667.0
449,Stanley Johnson,1368998.0
450,Duane Washington Jr,1346676.0
451,Aaron Wiggins,1305761.0
452,Marquese Chriss,1292900.0
453,JT Thor,1250000.0
454,DeMarre Carroll,1242340.0
455,Jabari Parker,1168286.0
456,Alfonzo McKinnie,1090007.0
457,Zhaire Smith,1068200.0
458,Jason Preston,1062303.0
459,Isaiah Livers,1057260.0
460,Denzel Valentine,1005633.0
461,Alize Johnson,1003740.0
462,Kyle Singler,999200.0
463,Kelan Martin,993760.0
464,Miye Oni,946261.0
465,Ayo Dosunmu,925258.0
466,Marko Simonovic,925258.0
467,Luka Garza,925258.0
468,BJ Boston,925258.0
469,Austin Reaves,925258.0
470,Miles McBride,925258.0
471,Vit Krejci,925258.0
472,Charles Bassey,925258.0
473,Greg Brown,925258.0
474,Jock Landale,925258.0
475,Dalano Banton,925258.0
476,Jared Butler,925258.0
477,Daishen Nix,923078.0
478,Isaiah Thomas,910926.0
479,Terry Taylor,895125.0
480,Mamadi Diakite,869078.0
481,Caleb Martin,844011.0
482,Brad Wanamaker,814918.0
483,Luke Kornet,812364.0
484,Wayne Selden,812363.0
485,Gary Clark,811213.0
486,Ryan Arcidiacono,774727.0
487,Trendon Watford,768830.0
488,Patrick Patterson,737067.0
489,Devontae Cacok,726128.0
490,Admiral Schofield,723741.0
491,Ishmail Wainright,707893.0
492,Shaun Livingston,666666.0
493,Malik Fitts,630874.0
494,Sam Hauser,619498.0
495,Greg Monroe,612805.0
496,Amir Coffey,573576.0
497,Joe Wieskamp,563663.0
498,Keifer Sykes,558345.0
499,Haywood Highsmith,547701.0
500,Nik Stauskas,534993.0
501,Davon Reed,532398.0
502,Wenyen Gabriel,522015.0
503,Skylar Mays,510907.0
504,Georgios Kalaitzakis,499852.0
505,RJ Nembhard,491876.0
506,Chris Silva,479650.0
507,Kessler Edwards,463211.0
508,Trent Forrest,463211.0
509,Sharife Cooper,462629.0
510,Brodric Thomas,462629.0
511,David Duke,462629.0
512,Scottie Lewis,462629.0
513,Arnoldas Kulboka,462629.0
514,Tyler Cook,462629.0
515,Markus Howard,462629.0
516,Jamorko Pickett,462629.0
517,Sean Chris Smith,462629.0
518,Chris Chiozza,462629.0
519,Jay Scrubb,462629.0
520,Yves Pons,462629.0
521,Sandro Mamukelashvili,462629.0
522,McKinley Wright,462629.0
523,Nathan Knight,462629.0
524,Jericho Sims,462629.0
525,Ignas Brazdeikis,462629.0
526,Keljin Blevins,462629.0
527,Neemias Queta,462629.0
528,David Johnson,462629.0
529,Justin Champagnie,462629.0
530,Joel Ayayi,462629.0
531,Cassius Winston,462629.0
532,Justin Anderson,445828.0
533,Theo Pinson,440710.0
534,Charlie Brown,431151.0
535,Langston Galloway,386127.0
536,James Ennis,386127.0
537,Tim Frazier,386127.0
538,Kyle Guy,383079.0
539,Sam Dekker,350000.0
540,Quinndary Weatherspoon,346491.0
541,Brandon Goodwin,343988.0
542,Malcolm Hill,324373.0
543,Louis King,316396.0
544,Justin Jackson,308493.0
545,Shaquille Harrison,308493.0
546,DJ Wilson,308493.0
547,Jeff Dowtin,305761.0
548,Trevelin Queen,303102.0
549,Paul Watson,303102.0
550,Myles Powell,300443.0
551,Jontay Porter,300000.0
552,Mason Jones,295125.0
553,Eugene Omoruyi,281831.0
554,Brandon Knight,274672.0
555,Justin Robinson,265953.0
556,Ja'Vonte Smart,265878.0
557,Mychal Mulder,257902.0
558,Tyler Johnson,257418.0
559,Cassius Stanley,256734.0
560,Zylan Cheatham,256734.0
561,Devon Dotson,239291.0
562,Marcus Garrett,236632.0
563,Lindell Wigginton,233973.0
564,Jay Huff,225997.0
565,Olivier Sarr,223339.0
566,Aaron Henry,223338.0
567,Freddie Gillespie,221156.0
568,JaQuori McLaughlin,220679.0
569,Rayjon Tucker,220639.0
570,Tacko Fall,218021.0
571,Petr Cornelie,218021.0
572,Juwan Morgan,211046.0
573,Damyean Dotson,205662.0
574,Xavier Moon,202069.0
575,Tyrone Wallace,198760.0
576,Norvel Pelle,191860.0
577,Jaylen Hoard,191860.0
578,Tremont Waters,191860.0
579,Reggie Perry,188272.0
580,Devin Cannady,185578.0
581,Brandon Williams,180798.0
582,Moses Wright,172821.0
583,DeJon Jarreau,172821.0
584,Dakota Mathias,171156.0
585,Matt Mooney,171156.0
586,Daulton Hommes,167504.0
587,Grant Riller,162186.0
588,Lindy Waters III,159527.0
589,CJ Miles,151821.0
590,Joe Johnson,151821.0
591,Ersan Ilyasova,151821.0
592,Darren Collison,151821.0
593,Anthony Tolliver,151821.0
594,Chaundee Brown,151552.0
595,Xavier Sneed,146233.0
596,Mario Chalmers,138019.0
597,Anthony Lamb,136095.0
598,Braxton Key,127622.0
599,Troy Williams,122741.0
600,Feron Hunt,116987.0
601,Mac McClung,111670.0
602,Matt Ryan,111669.0
603,Emmanuel Mudiay,111457.0
604,Carlik Jones,106352.0
605,Hassani Gravett,106352.0
606,Paris Bass,106352.0
607,Jordan Bell,102831.0
608,Cheick Diallo,102831.0
609,DJ Stewart,101034.0
610,Nate Hinton,96213.0
611,Derrick Walton,95930.0
612,DaQuan Jeffries,95930.0
613,Justin James,95930.0
614,Scotty Hopson,95930.0
615,BJ Johnson,95930.0
616,Jaylen Morris,95930.0
617,Demetrius Jackson,92857.0
618,Cameron Oliver,85578.0
619,Chris Clemons,85578.0
620,Malik Newman,85578.0
621,George King,85578.0
622,Jemerrio Jones,85578.0
623,Emanuel Terry,85578.0
624,Jared Harper,85081.0
625,Gabriel Lundberg,79764.0
626,Anthony Barber,53176.0
627,Malik Ellison,53176.0
628,Justin Tillman,53176.0
629,Tre Scott,53176.0
630,Trayvon Palmer,53176.0
631,Micah Potter,53176.0
632,Jaysean Paige,53176.0
633,Ahmad Caver,53176.0
634,Shaq Buchanan,53176.0
635,Jon Teske,53176.0
636,Aric Holman,53176.0
637,Javin DeLaurier,53176.0
638,Tyler Hall,53176.0
639,Rob Edwards,53176.0
640,Aleem Ford,53176.0
641,MJ Walker,53176.0
642,Cameron McGriff,53176.0
643,Jarron Cumberland,53176.0
644,Ade Murkey,53176.0
645,Jordan Schakel,53176.0
646,Jordan Goodwin,53176.0
647,Craig Sword,53176.0
648,Jaime Echenique,53176.0
649,Luca Vildoza,42789.0
650,Zavier Simpson,37223.0
651,Mfiondu Kabengele,19186.0
652,Melvin Frazier,13294.0
